profileID;respID;qID;altID;obsID;type;processing;origin;image
12;1;12;3;12;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
11;1;13;1;13;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
1;1;13;2;13;Special;Natural;Brazil Central Plateau;special.jpg
9;1;13;3;13;Special;Natural;Colombia Cauca;special.jpg
11;1;14;1;14;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
8;1;14;2;14;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
6;1;14;3;14;Organic;Washed;Brazil Central Plateau;organic.jpg
8;1;15;1;15;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
16;1;15;2;15;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
15;1;15;3;15;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
9;1;16;1;16;Special;Natural;Colombia Cauca;special.jpg
3;1;16;2;16;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;1;16;3;16;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
3;2;1;1;17;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
10;2;1;2;17;Organic;Natural;Colombia Cauca;organic.jpg
9;2;1;3;17;Special;Natural;Colombia Cauca;special.jpg
4;2;2;1;18;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
7;2;2;2;18;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
8;2;2;3;18;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
11;2;3;1;19;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
5;2;3;2;19;Special;Washed;Brazil Central Plateau;special.jpg
9;2;3;3;19;Special;Natural;Colombia Cauca;special.jpg
12;2;4;1;20;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
11;2;4;2;20;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
3;2;4;3;20;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;2;5;1;21;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
6;2;5;2;21;Organic;Washed;Brazil Central Plateau;organic.jpg
1;2;5;3;21;Special;Natural;Brazil Central Plateau;special.jpg
5;2;6;1;22;Special;Washed;Brazil Central Plateau;special.jpg
14;2;6;2;22;Organic;Washed;Colombia Cauca;organic.jpg
1;2;6;3;22;Special;Natural;Brazil Central Plateau;special.jpg
2;2;7;1;23;Organic;Natural;Brazil Central Plateau;organic.jpg
15;2;7;2;23;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
11;2;7;3;23;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
15;2;8;1;24;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
13;2;8;2;24;Special;Washed;Colombia Cauca;special.jpg
5;2;8;3;24;Special;Washed;Brazil Central Plateau;special.jpg
13;2;9;1;25;Special;Washed;Colombia Cauca;special.jpg
8;2;9;2;25;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
12;2;9;3;25;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
8;2;10;1;26;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
13;2;10;2;26;Special;Washed;Colombia Cauca;special.jpg
5;2;10;3;26;Special;Washed;Brazil Central Plateau;special.jpg
14;2;11;1;27;Organic;Washed;Colombia Cauca;organic.jpg
1;2;11;2;27;Special;Natural;Brazil Central Plateau;special.jpg
8;2;11;3;27;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
6;2;12;1;28;Organic;Washed;Brazil Central Plateau;organic.jpg
16;2;12;2;28;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
13;2;12;3;28;Special;Washed;Colombia Cauca;special.jpg
8;2;13;1;29;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
10;2;13;2;29;Organic;Natural;Colombia Cauca;organic.jpg
12;2;13;3;29;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
14;2;14;1;30;Organic;Washed;Colombia Cauca;organic.jpg
8;2;14;2;30;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
9;2;14;3;30;Special;Natural;Colombia Cauca;special.jpg
10;2;15;1;31;Organic;Natural;Colombia Cauca;organic.jpg
14;2;15;2;31;Organic;Washed;Colombia Cauca;organic.jpg
7;2;15;3;31;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
16;2;16;1;32;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
1;2;16;2;32;Special;Natural;Brazil Central Plateau;special.jpg
5;2;16;3;32;Special;Washed;Brazil Central Plateau;special.jpg
16;3;1;1;33;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
12;3;1;2;33;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
14;3;1;3;33;Organic;Washed;Colombia Cauca;organic.jpg
4;3;2;1;34;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
3;3;2;2;34;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
7;3;2;3;34;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
13;3;3;1;35;Special;Washed;Colombia Cauca;special.jpg
6;3;3;2;35;Organic;Washed;Brazil Central Plateau;organic.jpg
1;3;3;3;35;Special;Natural;Brazil Central Plateau;special.jpg
15;3;4;1;36;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
5;3;4;2;36;Special;Washed;Brazil Central Plateau;special.jpg
7;3;4;3;36;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
9;3;5;1;37;Special;Natural;Colombia Cauca;special.jpg
16;3;5;2;37;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
14;3;5;3;37;Organic;Washed;Colombia Cauca;organic.jpg
3;3;6;1;38;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
6;3;6;2;38;Organic;Washed;Brazil Central Plateau;organic.jpg
10;3;6;3;38;Organic;Natural;Colombia Cauca;organic.jpg
6;3;7;1;39;Organic;Washed;Brazil Central Plateau;organic.jpg
14;3;7;2;39;Organic;Washed;Colombia Cauca;organic.jpg
13;3;7;3;39;Special;Washed;Colombia Cauca;special.jpg
14;3;8;1;40;Organic;Washed;Colombia Cauca;organic.jpg
10;3;8;2;40;Organic;Natural;Colombia Cauca;organic.jpg
3;3;8;3;40;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
1;3;9;1;41;Special;Natural;Brazil Central Plateau;special.jpg
11;3;9;2;41;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
12;3;9;3;41;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
16;3;10;1;42;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
1;3;10;2;42;Special;Natural;Brazil Central Plateau;special.jpg
12;3;10;3;42;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
2;3;11;1;43;Organic;Natural;Brazil Central Plateau;organic.jpg
10;3;11;2;43;Organic;Natural;Colombia Cauca;organic.jpg
6;3;11;3;43;Organic;Washed;Brazil Central Plateau;organic.jpg
8;3;12;1;44;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
7;3;12;2;44;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
16;3;12;3;44;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
9;3;13;1;45;Special;Natural;Colombia Cauca;special.jpg
2;3;13;2;45;Organic;Natural;Brazil Central Plateau;organic.jpg
3;3;13;3;45;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
7;3;14;1;46;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
13;3;14;2;46;Special;Washed;Colombia Cauca;special.jpg
10;3;14;3;46;Organic;Natural;Colombia Cauca;organic.jpg
3;3;15;1;47;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
4;3;15;2;47;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
9;3;15;3;47;Special;Natural;Colombia Cauca;special.jpg
10;3;16;1;48;Organic;Natural;Colombia Cauca;organic.jpg
4;3;16;2;48;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
13;3;16;3;48;Special;Washed;Colombia Cauca;special.jpg
9;4;1;1;49;Special;Natural;Colombia Cauca;special.jpg
8;4;1;2;49;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
6;4;1;3;49;Organic;Washed;Brazil Central Plateau;organic.jpg
3;4;2;1;50;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
16;4;2;2;50;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
7;4;2;3;50;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
7;4;3;1;51;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
16;4;3;2;51;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
5;4;3;3;51;Special;Washed;Brazil Central Plateau;special.jpg
6;4;4;1;52;Organic;Washed;Brazil Central Plateau;organic.jpg
4;4;4;2;52;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
16;4;4;3;52;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
2;4;5;1;53;Organic;Natural;Brazil Central Plateau;organic.jpg
9;4;5;2;53;Special;Natural;Colombia Cauca;special.jpg
13;4;5;3;53;Special;Washed;Colombia Cauca;special.jpg
10;4;6;1;54;Organic;Natural;Colombia Cauca;organic.jpg
13;4;6;2;54;Special;Washed;Colombia Cauca;special.jpg
12;4;6;3;54;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
13;4;7;1;55;Special;Washed;Colombia Cauca;special.jpg
15;4;7;2;55;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
10;4;7;3;55;Organic;Natural;Colombia Cauca;organic.jpg
5;4;8;1;56;Special;Washed;Brazil Central Plateau;special.jpg
14;4;8;2;56;Organic;Washed;Colombia Cauca;organic.jpg
10;4;8;3;56;Organic;Natural;Colombia Cauca;organic.jpg
5;4;9;1;57;Special;Washed;Brazil Central Plateau;special.jpg
1;4;9;2;57;Special;Natural;Brazil Central Plateau;special.jpg
2;4;9;3;57;Organic;Natural;Brazil Central Plateau;organic.jpg
4;4;10;1;58;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
13;4;10;2;58;Special;Washed;Colombia Cauca;special.jpg
1;4;10;3;58;Special;Natural;Brazil Central Plateau;special.jpg
16;4;11;1;59;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
8;4;11;2;59;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
5;4;11;3;59;Special;Washed;Brazil Central Plateau;special.jpg
13;4;12;1;60;Special;Washed;Colombia Cauca;special.jpg
2;4;12;2;60;Organic;Natural;Brazil Central Plateau;organic.jpg
15;4;12;3;60;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
6;4;13;1;61;Organic;Washed;Brazil Central Plateau;organic.jpg
3;4;13;2;61;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
15;4;13;3;61;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
7;4;14;1;62;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
3;4;14;2;62;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
4;4;14;3;62;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
9;4;15;1;63;Special;Natural;Colombia Cauca;special.jpg
10;4;15;2;63;Organic;Natural;Colombia Cauca;organic.jpg
3;4;15;3;63;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;4;16;1;64;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
11;4;16;2;64;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
16;4;16;3;64;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
11;5;1;1;65;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
3;5;1;2;65;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
2;5;1;3;65;Organic;Natural;Brazil Central Plateau;organic.jpg
3;5;2;1;66;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
15;5;2;2;66;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
14;5;2;3;66;Organic;Washed;Colombia Cauca;organic.jpg
5;5;3;1;67;Special;Washed;Brazil Central Plateau;special.jpg
6;5;3;2;67;Organic;Washed;Brazil Central Plateau;organic.jpg
13;5;3;3;67;Special;Washed;Colombia Cauca;special.jpg
15;5;4;1;68;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
1;5;4;2;68;Special;Natural;Brazil Central Plateau;special.jpg
7;5;4;3;68;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
13;5;5;1;69;Special;Washed;Colombia Cauca;special.jpg
2;5;5;2;69;Organic;Natural;Brazil Central Plateau;organic.jpg
4;5;5;3;69;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
8;5;6;1;70;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
14;5;6;2;70;Organic;Washed;Colombia Cauca;organic.jpg
1;5;6;3;70;Special;Natural;Brazil Central Plateau;special.jpg
10;5;7;1;71;Organic;Natural;Colombia Cauca;organic.jpg
13;5;7;2;71;Special;Washed;Colombia Cauca;special.jpg
8;5;7;3;71;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
1;5;8;1;72;Special;Natural;Brazil Central Plateau;special.jpg
14;5;8;2;72;Organic;Washed;Colombia Cauca;organic.jpg
7;5;8;3;72;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
4;5;9;1;73;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
15;5;9;2;73;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
7;5;9;3;73;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
2;5;10;1;74;Organic;Natural;Brazil Central Plateau;organic.jpg
5;5;10;2;74;Special;Washed;Brazil Central Plateau;special.jpg
9;5;10;3;74;Special;Natural;Colombia Cauca;special.jpg
13;5;11;1;75;Special;Washed;Colombia Cauca;special.jpg
16;5;11;2;75;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
4;5;11;3;75;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
13;5;12;1;76;Special;Washed;Colombia Cauca;special.jpg
6;5;12;2;76;Organic;Washed;Brazil Central Plateau;organic.jpg
10;5;12;3;76;Organic;Natural;Colombia Cauca;organic.jpg
13;5;13;1;77;Special;Washed;Colombia Cauca;special.jpg
3;5;13;2;77;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
16;5;13;3;77;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
12;5;14;1;78;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
1;5;14;2;78;Special;Natural;Brazil Central Plateau;special.jpg
5;5;14;3;78;Special;Washed;Brazil Central Plateau;special.jpg
2;5;15;1;79;Organic;Natural;Brazil Central Plateau;organic.jpg
16;5;15;2;79;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
5;5;15;3;79;Special;Washed;Brazil Central Plateau;special.jpg
2;5;16;1;80;Organic;Natural;Brazil Central Plateau;organic.jpg
12;5;16;2;80;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
15;5;16;3;80;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
5;6;1;1;81;Special;Washed;Brazil Central Plateau;special.jpg
11;6;1;2;81;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
3;6;1;3;81;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
9;6;2;1;82;Special;Natural;Colombia Cauca;special.jpg
16;6;2;2;82;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
5;6;2;3;82;Special;Washed;Brazil Central Plateau;special.jpg
6;6;3;1;83;Organic;Washed;Brazil Central Plateau;organic.jpg
12;6;3;2;83;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
7;6;3;3;83;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
6;6;4;1;84;Organic;Washed;Brazil Central Plateau;organic.jpg
10;6;4;2;84;Organic;Natural;Colombia Cauca;organic.jpg
11;6;4;3;84;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
3;6;5;1;85;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
5;6;5;2;85;Special;Washed;Brazil Central Plateau;special.jpg
10;6;5;3;85;Organic;Natural;Colombia Cauca;organic.jpg
10;6;6;1;86;Organic;Natural;Colombia Cauca;organic.jpg
13;6;6;2;86;Special;Washed;Colombia Cauca;special.jpg
6;6;6;3;86;Organic;Washed;Brazil Central Plateau;organic.jpg
3;6;7;1;87;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
14;6;7;2;87;Organic;Washed;Colombia Cauca;organic.jpg
9;6;7;3;87;Special;Natural;Colombia Cauca;special.jpg
13;6;8;1;88;Special;Washed;Colombia Cauca;special.jpg
5;6;8;2;88;Special;Washed;Brazil Central Plateau;special.jpg
15;6;8;3;88;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
10;6;9;1;89;Organic;Natural;Colombia Cauca;organic.jpg
14;6;9;2;89;Organic;Washed;Colombia Cauca;organic.jpg
8;6;9;3;89;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
3;6;10;1;90;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
14;6;10;2;90;Organic;Washed;Colombia Cauca;organic.jpg
2;6;10;3;90;Organic;Natural;Brazil Central Plateau;organic.jpg
5;6;11;1;91;Special;Washed;Brazil Central Plateau;special.jpg
6;6;11;2;91;Organic;Washed;Brazil Central Plateau;organic.jpg
1;6;11;3;91;Special;Natural;Brazil Central Plateau;special.jpg
6;6;12;1;92;Organic;Washed;Brazil Central Plateau;organic.jpg
3;6;12;2;92;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
14;6;12;3;92;Organic;Washed;Colombia Cauca;organic.jpg
5;6;13;1;93;Special;Washed;Brazil Central Plateau;special.jpg
2;6;13;2;93;Organic;Natural;Brazil Central Plateau;organic.jpg
4;6;13;3;93;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
11;6;14;1;94;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
16;6;14;2;94;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
15;6;14;3;94;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
1;6;15;1;95;Special;Natural;Brazil Central Plateau;special.jpg
13;6;15;2;95;Special;Washed;Colombia Cauca;special.jpg
2;6;15;3;95;Organic;Natural;Brazil Central Plateau;organic.jpg
3;6;16;1;96;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
9;6;16;2;96;Special;Natural;Colombia Cauca;special.jpg
16;6;16;3;96;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
8;7;1;1;97;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
16;7;1;2;97;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
11;7;1;3;97;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
14;7;2;1;98;Organic;Washed;Colombia Cauca;organic.jpg
6;7;2;2;98;Organic;Washed;Brazil Central Plateau;organic.jpg
12;7;2;3;98;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
6;7;3;1;99;Organic;Washed;Brazil Central Plateau;organic.jpg
5;7;3;2;99;Special;Washed;Brazil Central Plateau;special.jpg
1;7;3;3;99;Special;Natural;Brazil Central Plateau;special.jpg
3;7;4;1;100;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
1;7;4;2;100;Special;Natural;Brazil Central Plateau;special.jpg
9;7;4;3;100;Special;Natural;Colombia Cauca;special.jpg
16;7;5;1;101;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
4;7;5;2;101;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
12;7;5;3;101;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
4;7;6;1;102;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
10;7;6;2;102;Organic;Natural;Colombia Cauca;organic.jpg
8;7;6;3;102;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
14;7;7;1;103;Organic;Washed;Colombia Cauca;organic.jpg
11;7;7;2;103;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
13;7;7;3;103;Special;Washed;Colombia Cauca;special.jpg
14;7;8;1;104;Organic;Washed;Colombia Cauca;organic.jpg
7;7;8;2;104;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
9;7;8;3;104;Special;Natural;Colombia Cauca;special.jpg
14;7;9;1;105;Organic;Washed;Colombia Cauca;organic.jpg
2;7;9;2;105;Organic;Natural;Brazil Central Plateau;organic.jpg
11;7;9;3;105;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
6;7;10;1;106;Organic;Washed;Brazil Central Plateau;organic.jpg
8;7;10;2;106;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
7;7;10;3;106;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
3;7;11;1;107;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;7;11;2;107;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
9;7;11;3;107;Special;Natural;Colombia Cauca;special.jpg
14;7;12;1;108;Organic;Washed;Colombia Cauca;organic.jpg
2;7;12;2;108;Organic;Natural;Brazil Central Plateau;organic.jpg
5;7;12;3;108;Special;Washed;Brazil Central Plateau;special.jpg
2;7;13;1;109;Organic;Natural;Brazil Central Plateau;organic.jpg
3;7;13;2;109;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
11;7;13;3;109;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
9;7;14;1;110;Special;Natural;Colombia Cauca;special.jpg
15;7;14;2;110;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
8;7;14;3;110;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
10;7;15;1;111;Organic;Natural;Colombia Cauca;organic.jpg
8;7;15;2;111;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
1;7;15;3;111;Special;Natural;Brazil Central Plateau;special.jpg
5;7;16;1;112;Special;Washed;Brazil Central Plateau;special.jpg
12;7;16;2;112;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
13;7;16;3;112;Special;Washed;Colombia Cauca;special.jpg
1;8;1;1;113;Special;Natural;Brazil Central Plateau;special.jpg
13;8;1;2;113;Special;Washed;Colombia Cauca;special.jpg
12;8;1;3;113;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
13;8;2;1;114;Special;Washed;Colombia Cauca;special.jpg
15;8;2;2;114;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
9;8;2;3;114;Special;Natural;Colombia Cauca;special.jpg
9;8;3;1;115;Special;Natural;Colombia Cauca;special.jpg
11;8;3;2;115;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
3;8;3;3;115;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;8;4;1;116;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
12;8;4;2;116;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
9;8;4;3;116;Special;Natural;Colombia Cauca;special.jpg
16;8;5;1;117;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
5;8;5;2;117;Special;Washed;Brazil Central Plateau;special.jpg
3;8;5;3;117;Fair Trade;Natural;Brazil Central Plateau;fairtrade.jpg
8;8;6;1;118;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
12;8;6;2;118;Agroforestry;Natural;Colombia Cauca;agroforestry.jpg
7;8;6;3;118;Fair Trade;Washed;Brazil Central Plateau;fairtrade.jpg
6;8;7;1;119;Organic;Washed;Brazil Central Plateau;organic.jpg
15;8;7;2;119;Fair Trade;Washed;Colombia Cauca;fairtrade.jpg
16;8;7;3;119;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
6;8;8;1;120;Organic;Washed;Brazil Central Plateau;organic.jpg
2;8;8;2;120;Organic;Natural;Brazil Central Plateau;organic.jpg
14;8;8;3;120;Organic;Washed;Colombia Cauca;organic.jpg
16;8;9;1;121;Agroforestry;Washed;Colombia Cauca;agroforestry.jpg
1;8;9;2;121;Special;Natural;Brazil Central Plateau;special.jpg
2;8;9;3;121;Organic;Natural;Brazil Central Plateau;organic.jpg
9;8;10;1;122;Special;Natural;Colombia Cauca;special.jpg
8;8;10;2;122;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
14;8;10;3;122;Organic;Washed;Colombia Cauca;organic.jpg
6;8;11;1;123;Organic;Washed;Brazil Central Plateau;organic.jpg
8;8;11;2;123;Agroforestry;Washed;Brazil Central Plateau;agroforestry.jpg
5;8;11;3;123;Special;Washed;Brazil Central Plateau;special.jpg
10;8;12;1;124;Organic;Natural;Colombia Cauca;organic.jpg
2;8;12;2;124;Organic;Natural;Brazil Central Plateau;organic.jpg
1;8;12;3;124;Special;Natural;Brazil Central Plateau;special.jpg
4;8;13;1;125;Agroforestry;Natural;Brazil Central Plateau;agroforestry.jpg
11;8;13;2;125;Fair Trade;Natural;Colombia Cauca;fairtrade.jpg
